trade_date,stock_id,stock_name,theme,surge_precondition_score,surge_watch_label,reason_summary,risk_flags
20260527,4105,東洋,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4108,懷特,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,4109,加捷生醫,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,4111,濟生,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4121,優盛,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4128,中天,other,47.0,D_weak_or_insufficient,TDCC領先股價,
20260527,4440,宜新實業,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,4502,健信,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4538,大詠城,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,4743,合一,other,47.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,4972,湯石照明,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,5203,訊連,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,5283,禾聯碩,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,5381,光譜,other,47.0,D_weak_or_insufficient,TDCC領先股價；靠近MA20,
20260527,5426,振發,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,5452,佶優,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,5489,彩富,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,5515,建國,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,5704,老爺知,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,5902,德記,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,6101,寬魚國際,other,47.0,D_weak_or_insufficient,quiet_accumulation；靠近MA20；風險:tdcc_price_divergence,tdcc_price_divergence
20260527,6121,新普,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,6160,欣技,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,6210,慶生,other,47.0,D_weak_or_insufficient,靠近MA20,
20260527,6248,沛波,other,47.0,D_weak_or_insufficient,靠近MA20,
