variant,horizon,slippage_bps,partition,population,samples,stocks,signal_dates,entry_dates,total_input_signals,condition_passed_signals,unsupported_signals,filter_rejected_signals,overlap_blocked_signals,missing_entry_signals,entry_after_as_of_signals,immature_positions,missing_exit_positions,purged_positions,anomaly_candidate_positions,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,mean_net_return_pct,median_net_return_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,formal_use,promotion_evidence_allowed
tdcc_both_up_count_ge2,20,10,purged_cross_split,sensitivity_excluding_candidates,616,616,20,20,20286,8287,0,11999,7631,3,0,0,1,616,0,290,0,326,47.07792207792208,0.0,52.922077922077925,1.1029304718982038,-0.40885693549366897,16.071428571428573,10.227272727272728,-34.83557908003073,34.9353911934235,False,False
tdcc_both_up_count_ge2,20,20,purged_cross_split,primary,652,652,20,20,20286,8287,0,11999,7631,3,0,0,1,652,36,316,0,336,48.466257668711656,0.0,51.533742331288344,3.6988501472136717,-0.2542784540662265,20.398773006134967,10.122699386503067,-37.16574456299357,146.9826601841054,False,False
tdcc_both_up_count_ge2,20,20,purged_cross_split,sensitivity_excluding_candidates,616,616,20,20,20286,8287,0,11999,7631,3,0,0,1,616,0,281,0,335,45.616883116883116,0.0,54.38311688311688,0.9009249329355338,-0.607842107014503,15.909090909090908,10.55194805194805,-34.96588410905041,34.66578947355308,False,False
tdcc_both_up_count_ge2,20,0,validation,primary,2593,1264,91,91,90098,37080,0,53018,33828,8,8,630,13,0,118,1131,0,1462,43.617431546471266,0.0,56.382568453528734,1.5179360666279553,-1.2641664151156422,16.930196683378327,16.351716158889317,-88.49746694801371,248.10314685314685,False,False
tdcc_both_up_count_ge2,20,0,validation,sensitivity_excluding_candidates,2475,1230,91,91,90098,37080,0,53018,33828,8,8,630,13,0,0,1020,0,1455,41.21212121212121,0.0,58.78787878787879,-0.9802223060768717,-1.6380456436150923,13.252525252525253,16.848484848484848,-36.241312795932465,35.77362258781237,False,False
tdcc_both_up_count_ge2,20,10,validation,primary,2593,1264,91,91,90098,37080,0,53018,33828,8,8,630,13,0,118,1110,0,1483,42.807558812186656,0.0,57.192441187813344,1.3151026257594467,-1.461440807892634,16.583108368684922,16.930196683378327,-88.52044903203367,247.40884957297797,False,False
tdcc_both_up_count_ge2,20,10,validation,sensitivity_excluding_candidates,2475,1230,91,91,90098,37080,0,53018,33828,8,8,630,13,0,0,999,0,1476,40.36363636363636,0.0,59.63636363636363,-1.1780655692844195,-1.8345730249465306,12.88888888888889,17.454545454545457,-36.36870278035617,35.50234661860595,False,False
tdcc_both_up_count_ge2,20,20,validation,primary,2593,1264,91,91,90098,37080,0,53018,33828,8,8,630,13,0,118,1087,0,1506,41.92055534130351,0.0,58.07944465869649,1.1126738842627748,-1.6583214394065977,16.04319321249518,17.470111839568066,-88.54338524363042,246.7159332798269,False,False
tdcc_both_up_count_ge2,20,20,validation,sensitivity_excluding_candidates,2475,1230,91,91,90098,37080,0,53018,33828,8,8,630,13,0,0,976,0,1499,39.43434343434343,0.0,60.56565656565657,-1.3755140949007445,-2.030708136055751,12.323232323232324,18.02020202020202,-36.495838493353894,35.231612118399944,False,False
tdcc_both_up_count_ge2,60,0,all,primary,3135,1488,160,160,210140,83993,0,126147,79808,23,1,1013,13,1008,128,1457,0,1678,46.47527910685805,0.0,53.52472089314194,7.374476874689317,-1.0108449536663473,27.081339712918663,21.945773524720895,-85.98825377540709,419.36536244817995,False,False
